accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	reverse	authors	institution	F_coverage	G_coverage	genome_coverage
MK109780	MK109780.1	MK109780	2013-02-24	Asia	Jordan			Homo sapiens	2018-12-15		Tan et al		Tan,G., Pickett,B., Fedorova,N., Amedeo,P., Isom,R., Hu,L., Christensen,J., Miller,J., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Arumemi,F., Das,S.		1.000	1.000	0.995
MT854101	MT854101.1	SAF/220/Feb-13	2013-02-24	Africa	South Africa			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.782	0.048
MF479602	MF479602.1	HR501-13	2013-02-25	Europe	Croatia			Homo sapiens	2018-01-01		Ivancic-Jelecki et al		Ivancic-Jelecki,J., Slovic,A., Ljubin-Sternak,S., Mlinaric-Galinovic,G., Forcic,D.		0.000	0.052	0.031
MT854100	MT854100.1	SAF/219/Feb-13	2013-02-25	Africa	South Africa			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.782	0.048
MT854131	MT854131.1	MAL/071/Feb-13	2013-02-26	Africa	Mali			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.785	0.048
MT854260	MT854260.1	GAM/052/Feb-13	2013-02-27	Africa	Gambia			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.708	0.043
KT765071	KT765071.1	CD13022812	2013-02-28	Asia	China			Homo sapiens	2016-03-08		Hu et al		Hu,W.P., Pei,F.X.		0.000	0.340	0.021
KX893002	KX893002.1	KX893002	2013-02-28	Asia	China			Homo sapiens	2017-12-31		Song et al		Song,J., Zhang,Y., Xu,W.		0.000	0.315	0.020
MT854261	MT854261.1	GAM/053/Feb-13	2013-02-28	Africa	Gambia			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.731	0.045
KM873473	KM873473.1	TBp-13-0101	2013-03-XX	Asia	Philippines			Homo sapiens	2015-01-28		Malasao et al		Malasao,R., Okamoto,M., Chaimongkol,N., Imamura,T., Tohma,K., Dapat,I., Dapat,C., Suzuki,A., Saito,M., Tamaki,R., Pedrera-Rico,G.A., Aniceto,R., Quicho,R.F., Segubre-Mercado,E., Lupisan,S., Oshitani,H., Igoy,M.A.U., Olveda,R.		0.000	0.340	0.022
KM873474	KM873474.1	TBp-13-0108	2013-03-XX	Asia	Philippines			Homo sapiens	2015-01-28		Malasao et al		Malasao,R., Okamoto,M., Chaimongkol,N., Imamura,T., Tohma,K., Dapat,I., Dapat,C., Suzuki,A., Saito,M., Tamaki,R., Pedrera-Rico,G.A., Aniceto,R., Quicho,R.F., Segubre-Mercado,E., Lupisan,S., Oshitani,H., Igoy,M.A.U., Olveda,R.		0.000	0.340	0.022
KM873475	KM873475.1	TBp-13-0126	2013-03-XX	Asia	Philippines			Homo sapiens	2015-01-28		Malasao et al		Malasao,R., Okamoto,M., Chaimongkol,N., Imamura,T., Tohma,K., Dapat,I., Dapat,C., Suzuki,A., Saito,M., Tamaki,R., Pedrera-Rico,G.A., Aniceto,R., Quicho,R.F., Segubre-Mercado,E., Lupisan,S., Oshitani,H., Igoy,M.A.U., Olveda,R.		0.000	0.340	0.022
KM873476	KM873476.1	TBp-13-0130	2013-03-XX	Asia	Philippines			Homo sapiens	2015-01-28		Malasao et al		Malasao,R., Okamoto,M., Chaimongkol,N., Imamura,T., Tohma,K., Dapat,I., Dapat,C., Suzuki,A., Saito,M., Tamaki,R., Pedrera-Rico,G.A., Aniceto,R., Quicho,R.F., Segubre-Mercado,E., Lupisan,S., Oshitani,H., Igoy,M.A.U., Olveda,R.		0.000	0.340	0.022
KM873477	KM873477.1	TBp-13-0134	2013-03-XX	Asia	Philippines			Homo sapiens	2015-01-28		Malasao et al		Malasao,R., Okamoto,M., Chaimongkol,N., Imamura,T., Tohma,K., Dapat,I., Dapat,C., Suzuki,A., Saito,M., Tamaki,R., Pedrera-Rico,G.A., Aniceto,R., Quicho,R.F., Segubre-Mercado,E., Lupisan,S., Oshitani,H., Igoy,M.A.U., Olveda,R.		0.000	0.340	0.022
KM873478	KM873478.1	TBp-13-0137	2013-03-XX	Asia	Philippines			Homo sapiens	2015-01-28		Malasao et al		Malasao,R., Okamoto,M., Chaimongkol,N., Imamura,T., Tohma,K., Dapat,I., Dapat,C., Suzuki,A., Saito,M., Tamaki,R., Pedrera-Rico,G.A., Aniceto,R., Quicho,R.F., Segubre-Mercado,E., Lupisan,S., Oshitani,H., Igoy,M.A.U., Olveda,R.		0.000	0.340	0.022
KM873494	KM873494.1	TOp-13-0080	2013-03-XX	Asia	Philippines			Homo sapiens	2015-01-28		Malasao et al		Malasao,R., Okamoto,M., Chaimongkol,N., Imamura,T., Tohma,K., Dapat,I., Dapat,C., Suzuki,A., Saito,M., Tamaki,R., Pedrera-Rico,G.A., Aniceto,R., Quicho,R.F., Segubre-Mercado,E., Lupisan,S., Oshitani,H., Igoy,M.A.U., Olveda,R.		0.000	0.340	0.022
KM873495	KM873495.1	TOp-13-0083	2013-03-XX	Asia	Philippines			Homo sapiens	2015-01-28		Malasao et al		Malasao,R., Okamoto,M., Chaimongkol,N., Imamura,T., Tohma,K., Dapat,I., Dapat,C., Suzuki,A., Saito,M., Tamaki,R., Pedrera-Rico,G.A., Aniceto,R., Quicho,R.F., Segubre-Mercado,E., Lupisan,S., Oshitani,H., Igoy,M.A.U., Olveda,R.		0.000	0.340	0.022
KP284718	KP284718.1	KP284718	2013-03-XX	Europe	Italy			Homo sapiens	2015-05-16		Esposito et al		Esposito,S., Piralla,A., Zampiero,A., Bianchini,S., Di Pietro,G., Scala,A., Pinzani,R., Fossali,E., Baldanti,F., Principi,N.		0.000	0.318	0.020
OK078742	OK078742.1	OK078742	2013-03-XX	Asia	Pakistan			Homo sapiens	2022-11-11		Aziz et al		Aziz,F., Rafaqat,W., Farooqui,N., Ali,S.A., Abidi,S.H.		0.000	0.380	0.024
OK078784	OK078784.1	OK078784	2013-03-XX	Asia	Pakistan			Homo sapiens	2022-11-11		Aziz et al		Aziz,F., Rafaqat,W., Farooqui,N., Ali,S.A., Abidi,S.H.		0.000	0.380	0.024
MT854262	MT854262.1	GAM/054/Mar-13	2013-03-01	Africa	Gambia			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.715	0.044
KX892890	KX892890.1	KX892890	2013-03-02	Asia	China			Homo sapiens	2017-12-31		Song et al		Song,J., Zhang,Y., Xu,W.		0.000	0.315	0.020
KY296686	KY296686.1	KY296686	2013-03-04	Asia	China			Homo sapiens	2018-12-10		Song et al		Song,J., Wang,H., Ng,T.I., Cui,A., Zhu,S., Huang,Y., Sun,L., Yang,Z., Yu,D., Yu,P., Zhang,H., Zhang,Y., Xu,W.		1.000	0.000	0.114
MT854138	MT854138.1	MAL/078/Mar-13	2013-03-04	Africa	Mali			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.785	0.048
MT854143	MT854143.1	MAL/083/Mar-13	2013-03-04	Africa	Mali			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.785	0.048
MT854086	MT854086.1	SAF/205/Mar-13	2013-03-05	Africa	South Africa			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.782	0.048
KX892719	KX892719.1	KX892719	2013-03-06	Asia	China			Homo sapiens	2017-12-31		Song et al		Song,J., Zhang,Y., Xu,W.		0.000	0.261	0.016
KX892901	KX892901.1	KX892901	2013-03-06	Asia	China			Homo sapiens	2017-12-31		Song et al		Song,J., Zhang,Y., Xu,W.		0.000	0.315	0.020
KY296704	KY296704.1	KY296704	2013-03-06	Asia	China			Homo sapiens	2018-12-10		Song et al		Song,J., Wang,H., Ng,T.I., Cui,A., Zhu,S., Huang,Y., Sun,L., Yang,Z., Yu,D., Yu,P., Zhang,H., Zhang,Y., Xu,W.		1.000	0.000	0.114
KX892902	KX892902.1	KX892902	2013-03-08	Asia	China			Homo sapiens	2017-12-31		Song et al		Song,J., Zhang,Y., Xu,W.		0.000	0.337	0.021
KX893012	KX893012.1	KX893012	2013-03-08	Asia	China			Homo sapiens	2017-12-31		Song et al		Song,J., Zhang,Y., Xu,W.		0.000	0.315	0.020
KX893013	KX893013.1	KX893013	2013-03-08	Asia	China			Homo sapiens	2017-12-31		Song et al		Song,J., Zhang,Y., Xu,W.		0.000	0.315	0.020
KY773705	KY773705.1	KY773705	2013-03-09	Asia	South Korea			Homo sapiens	2017-10-26		Park et al		Park,E., Park,P.H., Huh,J.W., Yun,H.J., Lee,H.K., Yoon,M.H., Lee,S., Ko,G., Park,P., Huh,J., Yun,H., Lee,H., Yoon,M.		0.000	0.279	0.017
KX893014	KX893014.1	KX893014	2013-03-10	Asia	China			Homo sapiens	2017-12-31		Song et al		Song,J., Zhang,Y., Xu,W.		0.000	0.315	0.020
MK109771	MK109771.1	MK109771	2013-03-10	Asia	Jordan			Homo sapiens	2018-12-15		Tan et al		Tan,G., Pickett,B., Fedorova,N., Amedeo,P., Isom,R., Hu,L., Christensen,J., Miller,J., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Arumemi,F., Das,S.		1.000	1.000	0.995
KT765072	KT765072.1	CD13031108	2013-03-11	Asia	China			Homo sapiens	2016-03-08		Hu et al		Hu,W.P., Pei,F.X.		0.000	0.340	0.021
MK109764	MK109764.1	MK109764	2013-03-11	Asia	Jordan			Homo sapiens	2018-12-15		Tan et al		Tan,G., Pickett,B., Fedorova,N., Amedeo,P., Isom,R., Hu,L., Christensen,J., Miller,J., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Arumemi,F., Das,S.		1.000	1.000	0.995
MT854091	MT854091.1	SAF/210/Mar-13	2013-03-12	Africa	South Africa			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.782	0.048
KX892905	KX892905.1	KX892905	2013-03-14	Asia	China			Homo sapiens	2017-12-31		Song et al		Song,J., Zhang,Y., Xu,W.		0.000	0.315	0.020
KX892906	KX892906.1	KX892906	2013-03-14	Asia	China			Homo sapiens	2017-12-31		Song et al		Song,J., Zhang,Y., Xu,W.		0.000	0.315	0.020
MT854155	MT854155.1	MAL/095/Mar-13	2013-03-14	Africa	Mali			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.785	0.048
KX892904	KX892904.1	KX892904	2013-03-15	Asia	China			Homo sapiens	2017-12-31		Song et al		Song,J., Zhang,Y., Xu,W.		0.000	0.322	0.020
MT854251	MT854251.1	GAM/043/Mar-13	2013-03-15	Africa	Gambia			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.773	0.047
KX892903	KX892903.1	KX892903	2013-03-16	Asia	China			Homo sapiens	2017-12-31		Song et al		Song,J., Zhang,Y., Xu,W.		0.000	0.322	0.020
MT854252	MT854252.1	GAM/044/Mar-13	2013-03-16	Africa	Gambia			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.795	0.049
MT854225	MT854225.1	GAM/017/Mar-13	2013-03-17	Africa	Gambia			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.795	0.049
MK109767	MK109767.1	MK109767	2013-03-18	Asia	Jordan			Homo sapiens	2018-12-15		Tan et al		Tan,G., Pickett,B., Fedorova,N., Amedeo,P., Isom,R., Hu,L., Christensen,J., Miller,J., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Arumemi,F., Das,S.		1.000	1.000	0.995
MT854199	MT854199.1	MAL/139/Mar-13	2013-03-18	Africa	Mali			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.789	0.048
MT854124	MT854124.1	MAL/064/Mar-13	2013-03-22	Africa	Mali			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.744	0.045
MT854102	MT854102.1	SAF/221/Mar-13	2013-03-24	Africa	South Africa			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.789	0.048
MK109766	MK109766.1	MK109766	2013-03-25	Asia	Jordan			Homo sapiens	2018-12-15		Tan et al		Tan,G., Pickett,B., Fedorova,N., Amedeo,P., Isom,R., Hu,L., Christensen,J., Miller,J., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Arumemi,F., Das,S.		1.000	1.000	0.995
MT854149	MT854149.1	MAL/089/Mar-13	2013-03-27	Africa	Mali			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.785	0.048
MT854198	MT854198.1	MAL/138/Mar-13	2013-03-27	Africa	Mali			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.789	0.048
MT854295	MT854295.1	GAM/087/Mar-13	2013-03-28	Africa	Gambia			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.541	0.033
KY296687	KY296687.1	KY296687	2013-03-29	Asia	China			Homo sapiens	2018-12-10		Song et al		Song,J., Wang,H., Ng,T.I., Cui,A., Zhu,S., Huang,Y., Sun,L., Yang,Z., Yu,D., Yu,P., Zhang,H., Zhang,Y., Xu,W.		1.000	0.000	0.114
MT854178	MT854178.1	MAL/118/Mar-13	2013-03-30	Africa	Mali			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.785	0.048
MF479604	MF479604.1	HR804-13	2013-03-31	Europe	Croatia			Homo sapiens	2018-01-01		Ivancic-Jelecki et al		Ivancic-Jelecki,J., Slovic,A., Ljubin-Sternak,S., Mlinaric-Galinovic,G., Forcic,D.		0.000	0.052	0.031
MT854290	MT854290.1	GAM/082/Mar-13	2013-03-31	Africa	Gambia			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.785	0.048
KM873479	KM873479.1	TBp-13-0179	2013-04-XX	Asia	Philippines			Homo sapiens	2015-01-28		Malasao et al		Malasao,R., Okamoto,M., Chaimongkol,N., Imamura,T., Tohma,K., Dapat,I., Dapat,C., Suzuki,A., Saito,M., Tamaki,R., Pedrera-Rico,G.A., Aniceto,R., Quicho,R.F., Segubre-Mercado,E., Lupisan,S., Oshitani,H., Igoy,M.A.U., Olveda,R.		0.000	0.340	0.022
KM873480	KM873480.1	TBp-13-0196	2013-04-XX	Asia	Philippines			Homo sapiens	2015-01-28		Malasao et al		Malasao,R., Okamoto,M., Chaimongkol,N., Imamura,T., Tohma,K., Dapat,I., Dapat,C., Suzuki,A., Saito,M., Tamaki,R., Pedrera-Rico,G.A., Aniceto,R., Quicho,R.F., Segubre-Mercado,E., Lupisan,S., Oshitani,H., Igoy,M.A.U., Olveda,R.		0.000	0.340	0.022
KM873496	KM873496.1	TOp-13-0126	2013-04-XX	Asia	Philippines			Homo sapiens	2015-01-28		Malasao et al		Malasao,R., Okamoto,M., Chaimongkol,N., Imamura,T., Tohma,K., Dapat,I., Dapat,C., Suzuki,A., Saito,M., Tamaki,R., Pedrera-Rico,G.A., Aniceto,R., Quicho,R.F., Segubre-Mercado,E., Lupisan,S., Oshitani,H., Igoy,M.A.U., Olveda,R.		0.000	0.285	0.018
KM873497	KM873497.1	TOp-13-0128	2013-04-XX	Asia	Philippines			Homo sapiens	2015-01-28		Malasao et al		Malasao,R., Okamoto,M., Chaimongkol,N., Imamura,T., Tohma,K., Dapat,I., Dapat,C., Suzuki,A., Saito,M., Tamaki,R., Pedrera-Rico,G.A., Aniceto,R., Quicho,R.F., Segubre-Mercado,E., Lupisan,S., Oshitani,H., Igoy,M.A.U., Olveda,R.		0.000	0.340	0.022
KM873498	KM873498.1	TOp-13-0149	2013-04-XX	Asia	Philippines			Homo sapiens	2015-01-28		Malasao et al		Malasao,R., Okamoto,M., Chaimongkol,N., Imamura,T., Tohma,K., Dapat,I., Dapat,C., Suzuki,A., Saito,M., Tamaki,R., Pedrera-Rico,G.A., Aniceto,R., Quicho,R.F., Segubre-Mercado,E., Lupisan,S., Oshitani,H., Igoy,M.A.U., Olveda,R.		0.000	0.340	0.022
KX892907	KX892907.1	KX892907	2013-04-02	Asia	China			Homo sapiens	2017-12-31		Song et al		Song,J., Zhang,Y., Xu,W.		0.000	0.315	0.020
KT765073	KT765073.1	CD13040320	2013-04-03	Asia	China			Homo sapiens	2016-03-08		Hu et al		Hu,W.P., Pei,F.X.		0.000	0.340	0.021
MT854132	MT854132.1	MAL/072/Apr-13	2013-04-03	Africa	Mali			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.785	0.048
MT854088	MT854088.1	SAF/207/Apr-13	2013-04-04	Africa	South Africa			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.785	0.048
KX893003	KX893003.1	KX893003	2013-04-05	Asia	China			Homo sapiens	2017-12-31		Song et al		Song,J., Zhang,Y., Xu,W.		0.000	0.322	0.020
MT854127	MT854127.1	MAL/067/Apr-13	2013-04-13	Africa	Mali			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.785	0.048
MT854158	MT854158.1	MAL/098/Apr-13	2013-04-15	Africa	Mali			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.785	0.048
MT854126	MT854126.1	MAL/066/Apr-13	2013-04-17	Africa	Mali			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.785	0.048
KY296705	KY296705.1	KY296705	2013-04-18	Asia	China			Homo sapiens	2018-12-10		Song et al		Song,J., Wang,H., Ng,T.I., Cui,A., Zhu,S., Huang,Y., Sun,L., Yang,Z., Yu,D., Yu,P., Zhang,H., Zhang,Y., Xu,W.		1.000	0.000	0.114
MT854152	MT854152.1	MAL/092/Apr-13	2013-04-22	Africa	Mali			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.785	0.048
MT854181	MT854181.1	MAL/121/Apr-13	2013-04-25	Africa	Mali			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.785	0.048
KX893005	KX893005.1	KX893005	2013-04-29	Asia	China			Homo sapiens	2017-12-31		Song et al		Song,J., Zhang,Y., Xu,W.		0.000	0.315	0.020
KX893004	KX893004.1	KX893004	2013-04-30	Asia	China			Homo sapiens	2017-12-31		Song et al		Song,J., Zhang,Y., Xu,W.		0.000	0.322	0.020
MT854112	MT854112.1	SAF/229/Apr-13	2013-04-30	Africa	South Africa			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.785	0.048
KM873499	KM873499.1	TOp-13-0172	2013-05-XX	Asia	Philippines			Homo sapiens	2015-01-28		Malasao et al		Malasao,R., Okamoto,M., Chaimongkol,N., Imamura,T., Tohma,K., Dapat,I., Dapat,C., Suzuki,A., Saito,M., Tamaki,R., Pedrera-Rico,G.A., Aniceto,R., Quicho,R.F., Segubre-Mercado,E., Lupisan,S., Oshitani,H., Igoy,M.A.U., Olveda,R.		0.000	0.340	0.022
KM873500	KM873500.1	TOp-13-0173	2013-05-XX	Asia	Philippines			Homo sapiens	2015-01-28		Malasao et al		Malasao,R., Okamoto,M., Chaimongkol,N., Imamura,T., Tohma,K., Dapat,I., Dapat,C., Suzuki,A., Saito,M., Tamaki,R., Pedrera-Rico,G.A., Aniceto,R., Quicho,R.F., Segubre-Mercado,E., Lupisan,S., Oshitani,H., Igoy,M.A.U., Olveda,R.		0.000	0.340	0.022
KM873501	KM873501.1	TOp-13-0176	2013-05-XX	Asia	Philippines			Homo sapiens	2015-01-28		Malasao et al		Malasao,R., Okamoto,M., Chaimongkol,N., Imamura,T., Tohma,K., Dapat,I., Dapat,C., Suzuki,A., Saito,M., Tamaki,R., Pedrera-Rico,G.A., Aniceto,R., Quicho,R.F., Segubre-Mercado,E., Lupisan,S., Oshitani,H., Igoy,M.A.U., Olveda,R.		0.000	0.340	0.022
KY296706	KY296706.1	KY296706	2013-05-02	Asia	China			Homo sapiens	2018-12-10		Song et al		Song,J., Wang,H., Ng,T.I., Cui,A., Zhu,S., Huang,Y., Sun,L., Yang,Z., Yu,D., Yu,P., Zhang,H., Zhang,Y., Xu,W.		1.000	0.000	0.114
MT854159	MT854159.1	MAL/099/May-13	2013-05-02	Africa	Mali			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.785	0.048
LC311397	LC311397.1	LC311397	2013-05-07	Asia	Philippines			Homo sapiens	2018-05-12		Okamoto et al		Okamoto,M., Dapat,C.P., Sandagon,A.M.D., Batangan-Nacion,L.P., Lirio,I.C., Tamaki,R., Saito,M., Saito-Obata,M., Lupisan,S.P., Oshitani,H., Dapat,C.		0.000	1.000	0.061
LC311561	LC311561.1	LC311561	2013-05-07	Asia	Philippines			Homo sapiens	2018-05-12		Okamoto et al		Okamoto,M., Dapat,C.P., Sandagon,A.M.D., Batangan-Nacion,L.P., Lirio,I.C., Tamaki,R., Saito,M., Saito-Obata,M., Lupisan,S.P., Oshitani,H., Dapat,C.		1.000	0.000	0.114
MT854090	MT854090.1	SAF/209/May-13	2013-05-07	Africa	South Africa			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.789	0.048
MT854092	MT854092.1	SAF/211/May-13	2013-05-07	Africa	South Africa			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.785	0.048
MT854153	MT854153.1	MAL/093/May-13	2013-05-10	Africa	Mali			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.785	0.048
MT854163	MT854163.1	MAL/103/May-13	2013-05-11	Africa	Mali			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.785	0.048
MG971438	MG971438.1	MG971438	2013-05-16	Europe	Netherlands			Homo sapiens	2019-12-02		Mackenzie et al		Mackenzie,G.A., Vilane,A., Salaudeen,R., Hogerwerf,L., van den Brink,S., Wijsman,L.A., Overduin,P., Janssens,T.K.S., de Silva,T.I., van der Sande,M.A.B., Kampmann,B., Meijer,A.		0.001	0.835	0.056
LC311395	LC311395.1	LC311395	2013-05-21	Asia	Philippines			Homo sapiens	2018-05-12		Okamoto et al		Okamoto,M., Dapat,C.P., Sandagon,A.M.D., Batangan-Nacion,L.P., Lirio,I.C., Tamaki,R., Saito,M., Saito-Obata,M., Lupisan,S.P., Oshitani,H., Dapat,C.		0.000	1.000	0.061
LC311396	LC311396.1	LC311396	2013-05-21	Asia	Philippines			Homo sapiens	2018-05-12		Okamoto et al		Okamoto,M., Dapat,C.P., Sandagon,A.M.D., Batangan-Nacion,L.P., Lirio,I.C., Tamaki,R., Saito,M., Saito-Obata,M., Lupisan,S.P., Oshitani,H., Dapat,C.		0.000	1.000	0.061
LC311559	LC311559.1	LC311559	2013-05-21	Asia	Philippines			Homo sapiens	2018-05-12		Okamoto et al		Okamoto,M., Dapat,C.P., Sandagon,A.M.D., Batangan-Nacion,L.P., Lirio,I.C., Tamaki,R., Saito,M., Saito-Obata,M., Lupisan,S.P., Oshitani,H., Dapat,C.		1.000	0.000	0.114
LC311560	LC311560.1	LC311560	2013-05-21	Asia	Philippines			Homo sapiens	2018-05-12		Okamoto et al		Okamoto,M., Dapat,C.P., Sandagon,A.M.D., Batangan-Nacion,L.P., Lirio,I.C., Tamaki,R., Saito,M., Saito-Obata,M., Lupisan,S.P., Oshitani,H., Dapat,C.		1.000	0.000	0.114
LC037605	LC037605.1	LC037605	2013-05-22	Asia	Japan	Niigata		Homo sapiens	2015-03-26		Hibino et al		Hibino,A., Saito,R., Taniguchi,K., Zaraket,H., Shobugawa,Y., Matsui,T., Suzuki,H., Shoubugawa,Y., Sano,Y.		0.000	0.340	0.021
MT854103	MT854103.1	SAF/222/May-13	2013-05-23	Africa	South Africa			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.660	0.040
MT854108	MT854108.1	SAF/227/May-13	2013-05-23	Africa	South Africa			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.534	0.033
MT854147	MT854147.1	MAL/087/May-13	2013-05-25	Africa	Mali			Homo sapiens	2020-10-14		Oketch et al		Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.		0.000	0.785	0.048
